frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.ttl,tcp.len,tcp.hdr_len,udp.length
28.547850000,192.168.1.4,92.60.78.238,49972,47516,,,128,0,20,
28.801395000,92.60.78.238,192.168.1.4,47516,50214,,,53,0,20,
28.801396000,192.168.1.4,92.60.78.238,50214,47516,,,128,0,20,
28.804824000,92.60.78.238,192.168.1.4,47516,49964,,,53,0,20,
28.804826000,192.168.1.4,92.60.78.238,49964,47516,,,128,0,20,
28.858942000,192.168.1.4,92.60.78.238,,,64576,47516,128,,,1313
28.858942000,192.168.1.4,92.60.78.238,,,64576,47516,128,,,1313
28.859046000,192.168.1.4,92.60.78.238,49962,47516,,,128,624,20,
28.859046000,192.168.1.4,92.60.78.238,49962,47516,,,128,73,20,
28.859145000,192.168.1.4,92.60.78.238,49962,47516,,,128,1494,20,
28.859376000,192.168.1.4,92.60.78.238,49962,47516,,,128,1494,20,
28.859478000,192.168.1.4,92.60.78.238,49962,47516,,,128,1494,20,
28.859595000,192.168.1.4,92.60.78.238,49962,47516,,,128,1494,20,
28.859703000,192.168.1.4,92.60.78.238,49962,47516,,,128,1354,20,
28.860123000,192.168.1.4,92.60.78.238,50256,47516,,,128,0,32,
28.860737000,192.168.1.4,92.60.78.238,49980,47516,,,128,99,20,
28.860737000,192.168.1.4,92.60.78.238,,,60967,47516,128,,,93
28.860737000,192.168.1.4,92.60.78.238,49980,47516,,,128,73,20,
28.860842000,192.168.1.4,92.60.78.238,49980,47516,,,128,1494,20,
28.860842000,192.168.1.4,92.60.78.238,49980,47516,,,128,1494,20,
28.860940000,192.168.1.4,92.60.78.238,49980,47516,,,128,1494,20,
28.861028000,192.168.1.4,92.60.78.238,49980,47516,,,128,997,20,
28.861438000,192.168.1.4,92.60.78.238,49976,47516,,,128,106,20,
28.861438000,192.168.1.4,92.60.78.238,49976,47516,,,128,73,20,
28.861532000,192.168.1.4,92.60.78.238,49976,47516,,,128,1494,20,
28.861532000,192.168.1.4,92.60.78.238,49976,47516,,,128,1494,20,
28.861621000,192.168.1.4,92.60.78.238,49976,47516,,,128,706,20,
28.862157000,192.168.1.4,92.60.78.238,49964,47516,,,128,1494,20,
28.862157000,192.168.1.4,92.60.78.238,49964,47516,,,128,1003,20,
28.862157000,192.168.1.4,92.60.78.238,49964,47516,,,128,73,20,
28.862706000,192.168.1.4,92.60.78.238,,,62411,47516,128,,,103
28.862990000,192.168.1.4,92.60.78.238,50258,47516,,,128,0,32,
28.863420000,192.168.1.4,92.60.78.238,50214,47516,,,128,1283,20,
28.863420000,192.168.1.4,92.60.78.238,50214,47516,,,128,1494,20,
28.864445000,192.168.1.4,92.60.78.238,50260,47516,,,128,0,32,
28.865195000,192.168.1.4,92.60.78.238,50262,47516,,,128,0,32,
28.865777000,192.168.1.4,92.60.78.238,50264,47516,,,128,0,32,
28.866835000,192.168.1.4,92.60.78.238,,,60790,47516,128,,,1313
28.866835000,192.168.1.4,92.60.78.238,,,60790,47516,128,,,1313
28.867142000,192.168.1.4,92.60.78.238,50266,47516,,,128,0,32,
28.868049000,192.168.1.4,92.60.78.238,,,58152,47516,128,,,1313
28.868049000,192.168.1.4,92.60.78.238,,,58152,47516,128,,,1313
28.868049000,192.168.1.4,92.60.78.238,,,58152,47516,128,,,143
28.868049000,192.168.1.4,92.60.78.238,49972,47516,,,128,1494,20,
28.868152000,192.168.1.4,92.60.78.238,49972,47516,,,128,764,20,
28.868261000,192.168.1.4,92.60.78.238,49972,47516,,,128,80,20,
28.908144000,92.60.78.238,192.168.1.4,47516,49980,,,53,0,20,
28.908145000,92.60.78.238,192.168.1.4,47516,49980,,,53,0,20,
28.908145000,92.60.78.238,192.168.1.4,47516,49962,,,53,0,20,
28.908242000,92.60.78.238,192.168.1.4,47516,49962,,,53,0,20,
28.908520000,92.60.78.238,192.168.1.4,47516,50256,,,53,0,32,
28.908520000,192.168.1.4,92.60.78.238,50256,47516,,,128,0,20,
28.908736000,192.168.1.4,92.60.78.238,50256,47516,,,128,1533,20,
28.908736000,92.60.78.238,192.168.1.4,47516,49962,,,53,0,20,
28.908906000,92.60.78.238,192.168.1.4,47516,49962,,,53,0,20,
28.909105000,92.60.78.238,192.168.1.4,47516,49962,,,53,0,20,
28.909105000,92.60.78.238,192.168.1.4,47516,49962,,,53,0,20,
28.909199000,92.60.78.238,192.168.1.4,47516,49980,,,53,0,20,
28.909199000,92.60.78.238,192.168.1.4,47516,49962,,,53,0,20,
28.909364000,92.60.78.238,192.168.1.4,47516,49980,,,53,0,20,
28.909522000,92.60.78.238,192.168.1.4,47516,49980,,,53,0,20,
28.909676000,92.60.78.238,192.168.1.4,47516,49980,,,53,0,20,
28.911027000,92.60.78.238,192.168.1.4,47516,49976,,,53,0,20,
28.911168000,92.60.78.238,192.168.1.4,47516,49976,,,53,0,20,
28.911435000,92.60.78.238,192.168.1.4,47516,49964,,,53,0,20,
28.911435000,192.168.1.4,92.60.78.238,49964,47516,,,128,2920,20,
28.911435000,192.168.1.4,92.60.78.238,49964,47516,,,128,1340,20,
28.911564000,92.60.78.238,192.168.1.4,47516,49976,,,53,0,20,
28.913931000,92.60.78.238,192.168.1.4,47516,50262,,,53,0,32,
28.913931000,192.168.1.4,92.60.78.238,50262,47516,,,128,0,20,
28.914134000,192.168.1.4,92.60.78.238,50262,47516,,,128,1533,20,
28.914134000,92.60.78.238,192.168.1.4,47516,49976,,,53,0,20,
28.914475000,92.60.78.238,192.168.1.4,47516,50258,,,53,0,32,
28.914475000,192.168.1.4,92.60.78.238,50258,47516,,,128,0,20,
28.914605000,92.60.78.238,192.168.1.4,47516,49976,,,53,0,20,
28.914605000,192.168.1.4,92.60.78.238,50258,47516,,,128,1533,20,
28.914773000,92.60.78.238,192.168.1.4,47516,49964,,,53,0,20,
28.914773000,192.168.1.4,92.60.78.238,49964,47516,,,128,1110,20,
28.914835000,92.60.78.238,192.168.1.4,47516,49964,,,53,0,20,
28.915932000,92.60.78.238,192.168.1.4,47516,50264,,,53,0,32,
28.915932000,192.168.1.4,92.60.78.238,50264,47516,,,128,0,20,
28.916074000,192.168.1.4,92.60.78.238,50264,47516,,,128,1533,20,
28.916234000,92.60.78.238,192.168.1.4,47516,50214,,,53,0,20,
28.916234000,192.168.1.4,92.60.78.238,50214,47516,,,128,2427,20,
28.916234000,92.60.78.238,192.168.1.4,47516,50214,,,53,0,20,
28.916516000,92.60.78.238,192.168.1.4,47516,50260,,,53,0,32,
28.916516000,192.168.1.4,92.60.78.238,50260,47516,,,128,0,20,
28.916552000,192.168.1.4,92.60.78.238,50260,47516,,,128,1533,20,
28.917642000,92.60.78.238,192.168.1.4,47516,50266,,,53,0,32,
28.917642000,192.168.1.4,92.60.78.238,50266,47516,,,128,0,20,
28.917745000,192.168.1.4,92.60.78.238,50266,47516,,,128,1533,20,
28.917940000,92.60.78.238,192.168.1.4,47516,49972,,,53,0,20,
28.918037000,92.60.78.238,192.168.1.4,47516,49972,,,53,0,20,
28.918037000,92.60.78.238,192.168.1.4,47516,49972,,,53,0,20,
28.940846000,92.60.78.238,192.168.1.4,,,47516,64576,53,,,1263
28.942214000,92.60.78.238,192.168.1.4,,,47516,64576,53,,,1263
28.942313000,92.60.78.238,192.168.1.4,47516,49980,,,53,73,20,
28.944300000,92.60.78.238,192.168.1.4,,,47516,60967,53,,,274
28.946135000,92.60.78.238,192.168.1.4,,,47516,64576,53,,,1263
28.946135000,92.60.78.238,192.168.1.4,,,47516,64576,53,,,1263
28.946609000,192.168.1.4,92.60.78.238,,,64576,47516,128,,,1313
28.946689000,192.168.1.4,92.60.78.238,,,64576,47516,128,,,1307
28.946778000,192.168.1.4,92.60.78.238,,,64576,47516,128,,,1313
28.946810000,192.168.1.4,92.60.78.238,,,64576,47516,128,,,1313
28.946810000,192.168.1.4,92.60.78.238,,,64576,47516,128,,,1313
28.946916000,192.168.1.4,92.60.78.238,,,64576,47516,128,,,1313
28.946916000,192.168.1.4,92.60.78.238,,,64576,47516,128,,,1313
28.946916000,192.168.1.4,92.60.78.238,,,64576,47516,128,,,1313
28.946916000,192.168.1.4,92.60.78.238,,,64576,47516,128,,,934
28.949142000,92.60.78.238,192.168.1.4,,,47516,62411,53,,,181
28.958973000,92.60.78.238,192.168.1.4,47516,50256,,,53,0,20,
28.961649000,92.60.78.238,192.168.1.4,,,47516,60790,53,,,103
28.961649000,92.60.78.238,192.168.1.4,47516,49964,,,53,0,20,
28.962108000,92.60.78.238,192.168.1.4,47516,49964,,,53,0,20,
28.962157000,92.60.78.238,192.168.1.4,47516,50262,,,53,0,20,
28.962983000,92.60.78.238,192.168.1.4,47516,49964,,,53,0,20,
28.963532000,92.60.78.238,192.168.1.4,,,47516,60790,53,,,1313
28.964318000,92.60.78.238,192.168.1.4,47516,50258,,,53,0,20,
28.965051000,92.60.78.238,192.168.1.4,47516,50258,,,53,0,20,
28.965347000,92.60.78.238,192.168.1.4,47516,50264,,,53,0,20,
28.965347000,92.60.78.238,192.168.1.4,47516,49964,,,53,0,20,
28.966764000,92.60.78.238,192.168.1.4,47516,50214,,,53,0,20,
28.967059000,92.60.78.238,192.168.1.4,47516,50214,,,53,0,20,
28.968328000,92.60.78.238,192.168.1.4,47516,50266,,,53,0,20,
28.974144000,92.60.78.238,192.168.1.4,47516,49976,,,53,73,20,
28.975591000,92.60.78.238,192.168.1.4,47516,49964,,,53,73,20,
28.976185000,92.60.78.238,192.168.1.4,,,47516,60790,53,,,1313
28.977285000,192.168.1.4,92.60.78.238,,,60790,47516,128,,,229
28.977285000,192.168.1.4,92.60.78.238,,,60790,47516,128,,,1309
28.977285000,192.168.1.4,92.60.78.238,,,60790,47516,128,,,1313
28.977386000,192.168.1.4,92.60.78.238,,,60790,47516,128,,,1313
28.977386000,192.168.1.4,92.60.78.238,,,60790,47516,128,,,1313
28.977723000,192.168.1.4,92.60.78.238,,,60790,47516,128,,,643
28.979954000,92.60.78.238,192.168.1.4,,,47516,58152,53,,,1263
28.980416000,92.60.78.238,192.168.1.4,47516,49962,,,53,73,20,
28.983895000,92.60.78.238,192.168.1.4,47516,49962,,,53,82,20,
28.983895000,192.168.1.4,92.60.78.238,49962,47516,,,128,0,20,
28.984374000,92.60.78.238,192.168.1.4,47516,49962,,,53,744,20,
28.989550000,192.168.1.4,92.60.78.238,49980,47516,,,128,0,20,
28.995506000,92.60.78.238,192.168.1.4,47516,49980,,,53,707,20,
28.997370000,192.168.1.4,92.60.78.238,49980,47516,,,128,69,20,
29.000394000,92.60.78.238,192.168.1.4,47516,49972,,,53,80,20,
29.004178000,192.168.1.4,92.60.78.238,49972,47516,,,128,0,20,
29.004178000,92.60.78.238,192.168.1.4,47516,49972,,,53,2079,20,
29.006255000,192.168.1.4,92.60.78.238,49972,47516,,,128,76,20,
29.013303000,92.60.78.238,192.168.1.4,47516,49976,,,53,241,20,
29.013303000,192.168.1.4,92.60.78.238,49976,47516,,,128,0,20,
29.021071000,192.168.1.4,92.60.78.238,49964,47516,,,128,0,20,
29.021072000,192.168.1.4,92.60.78.238,,,58152,47516,128,,,1313
29.021072000,192.168.1.4,92.60.78.238,,,58152,47516,128,,,1313
29.022839000,192.168.1.4,92.60.78.238,49976,47516,,,128,69,20,
29.026298000,92.60.78.238,192.168.1.4,,,47516,64576,53,,,548
29.026299000,92.60.78.238,192.168.1.4,,,47516,64576,53,,,87
29.026982000,92.60.78.238,192.168.1.4,,,47516,64576,53,,,95
29.026982000,92.60.78.238,192.168.1.4,,,47516,64576,53,,,112
29.026982000,92.60.78.238,192.168.1.4,,,47516,64576,53,,,90
29.026983000,192.168.1.4,92.60.78.238,,,64576,47516,128,,,107
29.026983000,92.60.78.238,192.168.1.4,,,47516,64576,53,,,90
29.027584000,92.60.78.238,192.168.1.4,,,47516,64576,53,,,90
29.027585000,192.168.1.4,92.60.78.238,,,64576,47516,128,,,110
29.027585000,92.60.78.238,192.168.1.4,,,47516,64576,53,,,90
29.028038000,192.168.1.4,92.60.78.238,,,64576,47516,128,,,1313
29.028453000,192.168.1.4,92.60.78.238,,,64576,47516,128,,,1307
29.035820000,192.168.1.4,92.60.78.238,50260,47516,,,128,1460,20,
29.035821000,192.168.1.4,92.60.78.238,49962,47516,,,128,0,20,
29.035821000,192.168.1.4,92.60.78.238,,,64576,47516,128,,,1313
29.038916000,192.168.1.4,92.60.78.238,49962,47516,,,128,69,20,
29.056456000,92.60.78.238,192.168.1.4,47516,49972,,,53,0,20,
29.067467000,92.60.78.238,192.168.1.4,,,47516,60790,53,,,647
29.067468000,92.60.78.238,192.168.1.4,,,47516,60790,53,,,184
